Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-15.7,67.5875,90.0,top
C2,2.2u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-4.2,67.5875,90.0,top
C3,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-40.0,62.5625,90.0,top
C4,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-44.0,62.5625,-90.0,top
D1,SS34,D_SMA,-43.0,69.5,0.0,top
J2,Conn_ST_STDC14,PinHeader_2x07_P1.27mm_Vertical_SMD,-42.45,41.73,180.0,top
L1,L22u,L_1210_3225Metric,-34.5,64.52,90.0,top
Q1,DMG2301L,SOT-23,-31.5625,69.0,180.0,top
Q2,DMG3402L,SOT-23,-27.0625,65.05,90.0,top
Q3,DMG2301L,SOT-23,-19.4375,5.55,180.0,top
Q4,DMG3402L,SOT-23,-10.4375,5.5,0.0,top
Q5,DMG2301L,SOT-23,-19.4375,14.05,180.0,top
Q6,DMG3402L,SOT-23,-10.6925,14.0,0.0,top
Q7,DMG2301L,SOT-23,-19.9375,22.45,180.0,top
Q8,DMG3402L,SOT-23,-10.5625,22.5,0.0,top
R1,10R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-28.5,59.55,-90.0,top
R10,10R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-5.53,24.47,0.0,top
R11,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-15.5,22.55,-90.0,top
R12,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-5.45,20.5,0.0,top
R13,42k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-42.45,51.5,0.0,top
R14,2.2k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-36.43,51.5,0.0,top
R2,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-22.5,69.45,-90.0,top
R3,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-24.5,59.55,-90.0,top
R4,10R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-5.55,7.5,0.0,top
R5,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-15.5,5.55,-90.0,top
R6,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-5.55,3.5,0.0,top
R7,10R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-5.55,16.0,0.0,top
R8,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-15.5,14.05,-90.0,top
R9,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-5.55,12.0,0.0,top
U1,451-00001,XCVR_451-00001,-8.4,42.25,180.0,top
U2,TLV76733QWDRBxQ1,SOP65P490X110-9N,-10.2,67.525,180.0,top
U3,MT3608,SOT-23-6,-38.2375,56.5,0.0,top
Y1,Crystal,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm,-3.0,52.75,0.0,top
